80-15179,Evergreen,!,48,85,69,154.05,0.28,0.26,33.04,-17.49,5.21,Perlervault
80-15181,Light Grey,#,179,186,184,162.86,0.05,0.72,74.93,-2.80,0.16,Perlervault
80-15182,Lavender,$,175,159,206,260.43,0.32,0.72,68.29,15.14,-21.88,Perlervault
80-15199,Shamrock,%,0,143,83,154.83,1.00,0.28,52.14,-47.25,22.96,Perlervault
80-15200,Cobalt,',0,101,177,205.76,1.00,0.35,41.97,5.00,-47.17,Perlervault
80-15201,Midnight,(,47,60,85,219.47,0.29,0.26,25.24,2.17,-16.76,Perlervault
80-15202,Robin's Egg,),169,205,213,190.91,0.34,0.75,80.12,-10.15,-7.93,Perlervault
80-15203,Flamingo,*,242,175,183,352.84,0.72,0.82,77.85,25.57,5.65,Perlervault
80-15204,Salmon,+,225,116,122,356.70,0.64,0.67,61.57,42.85,16.32,Perlervault
80-15205,Fawn,-,201,163,133,26.47,0.39,0.65,69.69,9.73,20.88,Perlervault
80-15206,Pewter,.,148,161,157,161.54,0.06,0.61,65.14,-5.39,0.49,Perlervault
80-15207,Charcoal,/,79,89,90,185.45,0.07,0.33,37.01,-3.67,-1.91,Perlervault
80-15208,Toasted Marshmallow,0,222,218,206,45.00,0.20,0.84,87.06,-0.71,6.37,Perlervault
80-15210,Orchid,1,177,98,142,326.58,0.34,0.54,51.88,37.65,-10.18,Perlervault
80-15211,Tomato,2,209,67,55,4.68,0.63,0.52,49.31,55.07,38.53,Perlervault
80-15212,Spice,3,217,89,58,11.70,0.68,0.54,54.24,48.49,42.73,Perlervault
80-15213,Apricot,4,245,161,104,24.26,0.88,0.68,73.48,25.59,42.19,Perlervault
80-15214,Sherbet,5,216,228,124,66.92,0.66,0.69,87.75,-18.98,49.12,Perlervault
80-15215,Mist,6,147,176,189,198.57,0.24,0.66,70.13,-6.99,-9.92,Perlervault
80-15216,Sky,7,74,192,216,190.14,0.65,0.57,72.30,-25.45,-21.74,Perlervault
80-15217,Lagoon,8,0,164,172,182.79,1.00,0.34,61.25,-32.03,-14.27,Perlervault
80-15218,Teal,9,4,127,138,184.93,0.94,0.28,48.31,-24.79,-14.29,Perlervault
80-15219,Fern,:,127,151,26,71.52,0.71,0.35,58.71,-24.62,56.82,Perlervault
80-15220,Olive,;,105,110,49,64.92,0.38,0.31,44.77,-11.41,32.91,Perlervault
80-15961,Cherry,=,157,43,58,352.11,0.57,0.39,36.37,47.63,18.86,Perlervault
80-19001,White,?,234,239,238,168.00,0.14,0.93,94.05,-1.83,-0.11,Perlervault
80-19002,Creme,@,225,226,187,61.54,0.40,0.81,88.92,-6.76,19.00,Perlervault
80-19003,Yellow,A,231,206,62,51.12,0.78,0.57,82.64,-6.25,70.39,Perlervault
80-19004,Orange,B,235,123,49,23.87,0.82,0.56,63.38,38.36,57.19,Perlervault
80-19005,Red,C,176,53,60,356.59,0.54,0.45,41.38,50.04,24.74,Perlervault
80-19006,Bubblegum,D,216,114,154,336.47,0.57,0.65,60.75,44.39,-3.42,Perlervault
80-19007,Purple,E,104,75,134,269.49,0.28,0.41,37.29,24.75,-28.54,Perlervault
80-19008,Dark Blue,F,14,80,146,210.00,0.82,0.31,33.79,6.68,-41.78,Perlervault
80-19009,Light Blue,G,39,140,201,202.59,0.67,0.47,55.49,-7.03,-39.51,Perlervault
80-19010,Dark Green,H,0,123,78,158.05,1.00,0.24,45.24,-40.75,16.57,Perlervault
80-19011,Light Green,I,24,199,177,172.46,0.78,0.44,72.37,-45.33,-0.50,Perlervault
80-19012,Brown,J,103,76,68,13.71,0.20,0.34,34.94,10.17,9.20,Perlervault
80-19017,Grey,K,144,148,151,205.71,0.03,0.58,61.08,-0.85,-2.09,Perlervault
80-19018,Black,L,50,50,52,240.00,0.02,0.20,20.86,0.48,-1.27,Perlervault
80-19020,Rust,M,153,80,67,9.07,0.39,0.43,42.63,29.08,21.33,Perlervault
80-19021,Light Brown,N,147,104,72,25.60,0.34,0.43,47.72,13.30,24.81,Perlervault
80-19033,Peach,O,233,191,185,7.50,0.52,0.82,80.79,14.08,8.67,Perlervault
80-19035,Tan,P,197,172,144,31.70,0.31,0.67,71.82,4.75,17.74,Perlervault
80-19038,Magenta,Q,224,66,132,334.94,0.72,0.57,53.39,65.48,-1.20,Perlervault
80-19052,Pastel Blue,R,74,156,207,203.01,0.58,0.55,61.43,-9.27,-33.52,Perlervault
80-19053,Pastel Green,S,109,204,148,144.63,0.48,0.61,75.19,-40.76,19.38,Perlervault
80-19054,Pastel Lavender,T,147,127,191,258.75,0.33,0.62,57.21,21.13,-30.71,Perlervault
80-19056,Pastel Yellow,U,233,226,144,55.28,0.67,0.74,88.79,-9.31,40.93,Perlervault
80-19057,Cheddar,V,251,177,70,35.47,0.96,0.63,77.52,17.60,62.95,Perlervault
80-19058,Toothpaste,W,150,209,212,182.90,0.42,0.71,80.09,-18.05,-7.57,Perlervault
80-19059,Hot Coral,X,221,89,91,359.09,0.66,0.61,55.35,51.78,25.74,Perlervault
80-19060,Plum,Y,167,93,157,308.11,0.30,0.51,50.07,39.52,-21.90,Perlervault
80-19061,Kiwi Lime,Z,105,184,69,101.22,0.45,0.50,67.81,-45.04,49.57,Perlervault
80-19062,Turquoise,[,0,152,197,193.71,1.00,0.39,58.50,-17.37,-32.57,Perlervault
80-19063,Blush,],249,146,151,357.09,0.90,0.77,71.51,39.29,14.31,Perlervault
80-19070,Periwinkle Blue,^,102,131,183,218.52,0.36,0.56,54.53,3.66,-30.58,Perlervault
80-19079,Light Pink,_,225,188,206,330.81,0.38,0.81,79.86,16.15,-4.09,Perlervault
80-19080,Green,`,77,171,100,134.68,0.38,0.49,63.03,-43.63,28.33,Perlervault
80-19083,Pink,a,212,84,150,329.06,0.60,0.58,54.60,56.89,-10.30,Perlervault
80-19088,Raspberry,b,152,56,100,332.50,0.46,0.41,38.59,44.53,-4.84,Perlervault
80-19090,Butterscotch,c,218,153,100,26.95,0.61,0.62,68.47,18.58,37.38,Perlervault
80-19091,Parrot Green,d,0,145,136,176.28,1.00,0.28,54.06,-34.38,-4.51,Perlervault
80-19092,Dark Grey,e,88,92,97,213.33,0.05,0.36,38.88,-0.46,-3.41,Perlervault
80-19093,Blueberry Creme,f,133,168,227,217.66,0.63,0.71,68.42,2.99,-33.51,Perlervault
80-19096,Cranapple,g,132,57,71,348.80,0.40,0.37,34.57,33.65,7.37,Perlervault
80-19097,Prickly Pear,h,187,201,56,65.79,0.57,0.50,77.65,-22.55,66.44,Perlervault
80-19098,Sand,i,229,190,158,27.04,0.58,0.76,79.59,9.38,21.39,Perlervault
80-15240,Mint,j,179,238,213,154.58,0.63,0.82,89.64,-23.66,6.06,BIORIO
80-15241,Sour Apple,k,163,222,111,91.89,0.63,0.65,82.47,-37.39,48.10,BIORIO
80-15242,Cotton Candy,l,244,121,176,333.17,0.85,0.72,66.55,53.06,-6.96,BIORIO
80-15243,Grape,m,80,59,156,252.99,0.45,0.42,32.33,34.39,-50.02,BIORIO
80-15244,Rose,n,210,93,114,349.23,0.57,0.59,54.81,48.08,11.23,BIORIO
80-15245,Iris,o,78,86,163,234.35,0.35,0.47,39.44,19.16,-42.79,BIORIO
80-15246,Tangerine,p,253,89,24,17.03,0.98,0.54,59.97,60.04,64.75,BIORIO
80-15247,Forest,q,0,93,87,176.13,1.00,0.18,35.04,-25.03,-3.32,BIORIO
80-15248,Eggplant,r,111,50,85,325.57,0.38,0.32,30.20,31.57,-8.50,BIORIO
80-15249,Honey,s,218,140,44,33.10,0.70,0.51,64.84,22.30,59.74,BIORIO
80-15250,Gingerbread,t,126,84,70,15.00,0.29,0.38,39.95,15.67,15.28,BIORIO
80-15251,Thistle,u,140,140,167,240.00,0.13,0.60,59.09,5.72,-14.21,Exodeca1
80-15252,Slate Blue,v,94,109,123,208.97,0.13,0.43,45.29,-2.26,-9.64,Exodeca1
80-15253,Denim,w,76,99,136,217.00,0.28,0.42,41.59,1.80,-23.22,Exodeca1
80-15254,Sage,x,154,169,142,93.33,0.14,0.61,67.43,-10.33,12.18,Exodeca1
80-15255,Orange Cream,y,239,183,155,20.00,0.72,0.77,78.80,16.56,22.07,Exodeca1
80-15256,Fruit Punch,z,202,59,101,342.38,0.57,0.51,47.78,58.83,8.95,Exodeca1
80-15257,Fuchsia,{,203,89,185,309.47,0.52,0.57,55.42,57.08,-29.55,Exodeca1
80-15258,Mulberry,|,113,72,117,294.67,0.24,0.37,36.80,25.59,-18.73,Exodeca1
80-15259,Slime,},200,200,92,60.00,0.50,0.57,78.67,-14.35,53.11,Exodeca1
80-15260,Stone,~,152,140,140,0.00,0.06,0.57,59.27,4.47,1.61,Exodeca1
80-15261,Dark Spruce,¡,20,49,59,195.38,0.49,0.15,18.63,-7.30,-9.62,Exodeca1
80-15262,Cocoa,¢,57,41,40,3.53,0.18,0.19,18.40,7.28,3.55,Exodeca1
80-15265,Twilight Plum,£,198,133,177,319.38,0.36,0.65,63.31,31.64,-12.98,Exodeca1
80-15266,Caribbean Sea,¤,108,200,173,162.39,0.46,0.60,74.52,-33.90,5.03,Exodeca1
80-15267,Frosted Lilac,¥,205,183,195,327.27,0.18,0.76,76.55,9.92,-3.20,Exodeca1
80-15273,Brick,¦,252,149,116,14.56,0.96,0.72,71.86,35.52,34.01,toptierbeads.com
80-15274,Rich Butter,§,246,202,105,41.28,0.89,0.69,83.37,4.58,53.52,toptierbeads.com
80-15275,Peacock,¨,0,144,172,189.77,1.00,0.34,55.00,-22.00,-23.80,toptierbeads.com
80-15089,Neon Blue,©,64,106,225,224.35,0.73,0.57,48.05,25.51,-64.92,LizzyJanee
80-15268,Sunflower,ª,222,186,11,49.76,0.91,0.46,76.48,-1.16,77.17,LizzyJanee
80-15269,Lemon,«,246,217,1,52.90,0.99,0.48,86.61,-6.75,86.45,LizzyJanee
80-15263,Celery,¬,190,212,166,88.70,0.35,0.74,82.26,-15.50,20.35,LizzyJanee
80-15239,Mocha,®,200,182,147,39.62,0.33,0.68,74.73,0.98,20.18,LizzyJanee
80-15272,Coral,¯,255,154,139,7.76,1.00,0.77,73.70,36.14,24.05,SteelSkyStudios
