H01,White,229,236,241,rYonder
H03,Yellow,233,199,4,rYonder
H05,Red,180,6,14,rYonder
H07,Purple,113,34,151,rYonder
H09,Light Blue,2,91,195,rYonder
H10,Green,2,118,67,rYonder
H17,Grey,131,143,152,rYonder
H18,Black,20,19,21,rYonder
H20,Reddish Brown,141,42,15,rYonder
H26,Matt Rose,232,164,152,rYonder
H32,Neon Fuchsia,255,32,141,rYonder
H34,Neon Yellow,229,239,19,rYonder
H35,Neon Red,255,40,51,rYonder
H36,Neon Blue,35,83,176,rYonder
H37,Neon Green,6,183,60,rYonder
H38,Neon Orange,253,134,0,rYonder
H43,Pastel Yellow,231,228,90,rYonder
H44,Pastel Red,249,97,96,rYonder
H45,Pastel Purple,142,105,205,rYonder
H46,Pastel Blue,81,174,228,rYonder
H47,Pastel Green,128,223,150,rYonder
H48,Pastel Pink,214,122,209,rYonder
H60,Teddybear Brown,240,152,30,rYonder
H70,Light Grey,165,179,192,rYonder
H79,Apricot,248,118,51,rYonder