80-15179,Evergreen,48,85,69,Perlervault
80-15181,Light Grey,179,186,184,Perlervault
80-19001,White,234,239,238,Perlervault
80-19002,Creme,225,226,187,Perlervault
80-19003,Yellow,231,206,62,Perlervault
80-19004,Orange,235,123,49,Perlervault
80-19005,Red,176,53,60,Perlervault
80-19006,Bubblegum,216,114,154,Perlervault
80-19007,Purple,104,75,134,Perlervault
80-19008,Dark Blue,14,80,146,Perlervault
80-19009,Light Blue,39,140,201,Perlervault
80-19011,Light Green,24,199,177,Perlervault
80-19012,Brown,103,76,68,Perlervault
80-19017,Grey,144,148,151,Perlervault
80-19018,Black,50,50,52,Perlervault
80-19021,Light Brown,147,104,72,Perlervault
80-19033,Peach,233,191,185,Perlervault
80-19035,Tan,197,172,144,Perlervault
80-19010,Dark Green,0,123,78,Perlervault
80-19052,Pastel Blue,74,156,207,Perlervault
80-19054,Pastel Lavender,147,127,191,Perlervault
80-19056,Pastel Yellow,233,226,144,Perlervault
80-19057,Cheddar,251,177,70,Perlervault
80-19058,Toothpaste,150,209,212,Perlervault
80-19059,Hot Coral,221,89,91,Perlervault
80-19060,Plum,167,93,157,Perlervault
80-19061,Kiwi Lime,105,184,69,Perlervault
80-19062,Turquoise,0,152,197,Perlervault
80-19063,Blush,249,146,151,Perlervault
80-19079,Light Pink,225,188,206,Perlervault
80-19080,Green,77,171,100,Perlervault
80-19083,Pink,212,84,150,Perlervault
80-19088,Raspberry,152,56,100,Perlervault
80-19090,Butterscotch,218,153,100,Perlervault
80-19091,Parrot Green,0,145,136,Perlervault
80-19092,Dark Grey,88,92,97,Perlervault
80-19093,Blueberry Creme,133,168,227,Perlervault
80-19096,Cranapple,132,57,71,Perlervault
80-19097,Prickly Pear,187,201,56,Perlervault
80-19098,Sand,229,190,158,Perlervault
80-14110,Toasted Marshmallow,222,218,206,Perlervault