Y002,white,255,255,255,KintaroOe
Y003,shell,224,212,216,KintaroOe
Y004,ash,221,219,206,KintaroOe
Y005,dove,206,200,203,KintaroOe
Y006,fog,214,212,215,KintaroOe
Y007,cameo,181,180,185,KintaroOe
Y008,gray,140,138,141,KintaroOe
Y009,smoke,113,110,115,KintaroOe
Y010,iron,76,76,76,KintaroOe
Y011,black,0,0,0,KintaroOe
Y012,skin,239,216,198,KintaroOe
Y013,shrimp,239,192,150,KintaroOe
Y014,muscle,224,185,152,KintaroOe
Y015,cedar,189,156,103,KintaroOe
Y016,linen,210,193,150,KintaroOe
Y017,corduroy,197,162,124,KintaroOe
Y018,bamboo,218,180,118,KintaroOe
Y019,caramel,196,145,62,KintaroOe
Y020,annatto,203,147,96,KintaroOe
Y021,soil,215,153,106,KintaroOe
Y022,brich,155,107,69,KintaroOe
Y023,tan,141,92,62,KintaroOe
Y024,oak,134,106,85,KintaroOe
Y025,chocolate,93,60,55,KintaroOe
Y026,shy,248,149,107,KintaroOe
Y027,coralline,213,81,77,KintaroOe
Y028,ruby,219,79,62,KintaroOe
Y029,sunset,207,62,69,KintaroOe
Y030,vermillion,157,34,52,KintaroOe
Y031,crimson,157,34,52,KintaroOe
Y032,rose,214,104,167,KintaroOe
Y033,taffy,104,57,63,KintaroOe
Y034,chestnut,125,71,35,KintaroOe
Y035,ochre,147,74,57,KintaroOe
Y036,brick,106,26,53,KintaroOe
Y037,pork,244,226,214,KintaroOe
Y038,baby,245,220,216,KintaroOe
Y039,cheek,241,216,222,KintaroOe
Y040,sakura,238,198,222,KintaroOe
Y041,pink,245,163,209,KintaroOe
Y042,azalea,219,119,207,KintaroOe
Y043,blusher,228,160,183,KintaroOe
Y044,wintersweet,210,118,169,KintaroOe
Y045,bleaberry,193,56,138,KintaroOe
Y046,magenta,220,74,119,KintaroOe
Y047,jam,154,36,97,KintaroOe
Y048,camelia,162,0,103,KintaroOe
Y049,bacon,201,119,131,KintaroOe
Y050,hyacinth,212,213,231,KintaroOe
Y051,magnolia,190,194,232,KintaroOe
Y052,wisteria,189,198,237,KintaroOe
Y053,cobalt,165,175,234,KintaroOe
Y054,azure,126,132,190,KintaroOe
Y055,lilac,217,211,239,KintaroOe
Y056,amethyst,194,187,228,KintaroOe
Y057,hydrangea,200,156,205,KintaroOe
Y058,briar,166,92,191,KintaroOe
Y059,tuberose,145,31,144,KintaroOe
Y060,wine,108,41,136,KintaroOe
Y061,rosemary,158,109,198,KintaroOe
Y062,lavender,144,122,187,KintaroOe
Y063,castle,93,63,135,KintaroOe
Y064,myrtille,69,58,134,KintaroOe
Y065,modena,61,46,85,KintaroOe
Y066,jade,217,230,204,KintaroOe
Y067,powderblue,191,225,227,KintaroOe
Y068,elsa,196,223,232,KintaroOe
Y069,sky,164,216,238,KintaroOe
Y070,seacoast,103,173,207,KintaroOe
Y071,seacoast,96,167,173,KintaroOe
Y072,agate,102,181,198,KintaroOe
Y073,turkey,140,179,220,KintaroOe
Y074,danube,87,125,190,KintaroOe
Y075,homeland,65,115,188,KintaroOe
Y076,silence,74,95,188,KintaroOe
Y077,rambo,61,84,160,KintaroOe
Y078,montana,49,65,116,KintaroOe
Y079,prussian,61,71,98,KintaroOe
Y080,shallot,221,229,180,KintaroOe
Y081,burgeon,218,218,60,KintaroOe
Y082,green,205,229,71,KintaroOe
Y083,lime,167,212,70,KintaroOe
Y084,chloe,165,211,139,KintaroOe
Y085,scallion,143,211,90,KintaroOe
Y086,mint,120,165,74,KintaroOe
Y087,turquoise,135,204,157,KintaroOe
Y088,tiffay,184,219,199,KintaroOe
Y089,jadeite,95,174,145,KintaroOe
Y090,starbucks,60,110,72,KintaroOe
Y091,tree,51,121,59,KintaroOe
Y092,forest,58,100,54,KintaroOe
Y093,jasper,36,70,54,KintaroOe
Y094,barrack,114,131,63,KintaroOe
Y095,pudding,239,231,169,KintaroOe
Y096,greamy,226,226,172,KintaroOe
Y097,lemon,245,232,127,KintaroOe
Y098,yellow,241,217,55,KintaroOe
Y099,yolk,241,197,48,KintaroOe
Y100,ginger,218,191,60,KintaroOe
Y101,mousse,246,217,147,KintaroOe
Y102,mango,231,181,58,KintaroOe
Y103,wheat,255,188,71,KintaroOe
Y104,salmon,235,179,142,KintaroOe
Y105,orange,223,146,58,KintaroOe
Y106,tangerine,249,152,70,KintaroOe
Y107,Sun-god,221,120,28,KintaroOe
Y108,azure,224,209,186,KintaroOe
Y109,coffee,94,80,79,KintaroOe
Y110,cerise,223,71,92,KintaroOe
Y111,meat,244,217,196,KintaroOe
Y112,peach,233,204,200,KintaroOe
Y113,chauche,215,232,226,KintaroOe
Y114,cloud,198,211,230,KintaroOe
Y115,maldives,102,178,174,KintaroOe
Y116,bud,204,225,158,KintaroOe
Y117,matcha,158,174,42,KintaroOe
Y118,ivory,234,227,211,KintaroOe
Y119,milk,234,219,196,KintaroOe
Y120,persimmon,242,106,52,KintaroOe